INFO 2024-07-30 15:00:01,472 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-30 15:00:01,473 autoreload Waiting for apps ready_event.
DEBUG 2024-07-30 15:00:01,484 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-30 15:00:01,504 autoreload Watching dir D:\python project\Student_venv\student-management-system\student_management_system\student_management_app\templates with glob **/*.
DEBUG 2024-07-30 15:00:01,504 autoreload Watching dir D:\python project\Student_venv\student-management-system\student_management_system\locale with glob **/*.mo.
DEBUG 2024-07-30 15:00:01,505 autoreload Watching dir D:\python project\Student_venv\student-management-system\student_management_system\student_management_app\locale with glob **/*.mo.
DEBUG 2024-07-30 15:00:01,558 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2024-07-30 15:00:01,560 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-07-30 15:00:01,561 utils (0.000) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2024-07-30 15:00:01,566 utils (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2024-07-30 15:00:01,703 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\http\cookies.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,703 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1721638512.8771758
DEBUG 2024-07-30 15:00:01,704 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\exceptions.py first seen with mtime 1721638515.08696
DEBUG 2024-07-30 15:00:01,704 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\typing.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,705 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1721638515.0819738
DEBUG 2024-07-30 15:00:01,705 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1721638515.2582378
DEBUG 2024-07-30 15:00:01,705 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\temp.py first seen with mtime 1721638515.1039147
DEBUG 2024-07-30 15:00:01,706 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\wsgiref\__init__.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,706 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1721638514.5909948
DEBUG 2024-07-30 15:00:01,706 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1721638514.0379033
DEBUG 2024-07-30 15:00:01,707 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,707 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\asyncio\coroutines.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,707 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,708 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1721638513.4338524
DEBUG 2024-07-30 15:00:01,708 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\string.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,709 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1721638515.291217
DEBUG 2024-07-30 15:00:01,709 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\tree.py first seen with mtime 1721638515.2892222
DEBUG 2024-07-30 15:00:01,709 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\ctypes\_endian.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,710 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sessions\backends\__init__.py first seen with mtime 1721638514.804554
DEBUG 2024-07-30 15:00:01,710 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\asyncio\locks.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,710 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1721638515.1338344
DEBUG 2024-07-30 15:00:01,710 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\email\encoders.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,710 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\base64.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,711 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\__init__.py first seen with mtime 1721638515.085963
DEBUG 2024-07-30 15:00:01,711 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\http\cookie.py first seen with mtime 1721638515.2422814
DEBUG 2024-07-30 15:00:01,711 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\move.py first seen with mtime 1721638515.1029172
DEBUG 2024-07-30 15:00:01,712 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\autoreload.py first seen with mtime 1721638515.2492616
DEBUG 2024-07-30 15:00:01,712 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1721638515.1874278
DEBUG 2024-07-30 15:00:01,713 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1721638515.0969331
DEBUG 2024-07-30 15:00:01,713 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\email\header.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,713 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1721638513.8918314
DEBUG 2024-07-30 15:00:01,714 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\collections\abc.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,714 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1721638512.8771758
DEBUG 2024-07-30 15:00:01,714 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1721638513.423879
DEBUG 2024-07-30 15:00:01,715 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\mimetypes.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,715 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1721638515.287228
